,0,1,2,3,4
30,[문화나눔]외국인 대상 'KOREA 백제금동대향로',2020-04 ~ 2020-11,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00086&atckey_3rd=73&atckey_4th=1&vchkcode=AF7otK7p,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00086&menu_nix=2N6A32l0&info_no=73,국립부여박물관
31,"[문화나눔]노인대상 프로그램 “엑티브 시니어, 노후를 축제처럼 즐기다""",20-Jun,http://buyeo.museum.go.kr/atchfile/imageAtchfile.do?atckey_1st=RSVEDUINFO&atckey_2nd=CDIDX00086&atckey_3rd=66&atckey_4th=1&vchkcode=,http://buyeo.museum.go.kr/resvetcman/resvdftapplInfoList.do?rsv_gb=CDIDX00042&menu_user_se=3&rsv_class=CDIDX00086&menu_nix=2N6A32l0&info_no=66,국립부여박물관
32,2020년 7월 29일 금속공예(반지만들기) 16시 ,2020.07.29 ~ 2020.07.29,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1741&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200604103557.jpg,국립전주박물관
33,2020년 7월 29일 금속공예(반지만들기) 14시 ,2020.07.29 ~ 2020.07.29,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1740&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200604103458.jpg,국립전주박물관
34,2020년 7월 25일 마크라메 16시 ,2020.07.25 ~ 2020.07.25,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1739&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200604103256.jpg,국립전주박물관
35,2020년 7월 25일 마크라메 14시 ,2020.07.25 ~ 2020.07.25,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1738&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200604103115.jpg,국립전주박물관
36,2020년 7월 11일 명장 한상봉선생님과 함께하는 방문패만들기 16시,2020.07.11 ~ 2020.07.11,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1737&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200604102924.jpg,국립전주박물관
37,2020년 7월 11일 명장 한상봉선생님과 함께하는 방문패만들기 14시,2020.07.11 ~ 2020.07.11,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1736&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200604102631.jpg,국립전주박물관
38,코로나19의 영향으로 3월 문화행사 잠정연기,2020.03.07 ~ 2020.03.28,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1735&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200224133701.jpg,국립전주박물관
39,2020년 3월 28일 국립전주박물관이 활짝열린다,2020.03.28 ~ 2020.03.28,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1730&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200211141409.jpg,국립전주박물관
40,2월 영화상영 취소 알림,2020.02.01 ~ 2020.02.29,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1729&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200204104744.jpg,국립전주박물관
41,2020년 2월 29일 국립전주박물관이 활짝열린다,2020.02.29 ~ 2020.02.29,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1728&act=view,https://jeonju.museum.go.kr/upload/event/m_img20200203145103.jpg,국립전주박물관
42,대보름 행사 취소알림 ,2020.02.08 ~ 2020.02.08,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1727&act=view,https://jeonju.museum.go.kr/upload/event/m_img2020020191200.jpg,국립전주박물관
43,제 24회 설 대보름 맞이 문화축전,2020.01.24 ~ 2020.02.08,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1725&act=view,https://jeonju.museum.go.kr/upload/event/m_img20191218161942.jpg,국립전주박물관
44,2020년 2월 1일 국립전주박물관이 활짝열린다 ,2020.02.01 ~ 2020.02.01,https://jeonju.museum.go.kr/event.es?mid=a10403000000&seq=1724&act=view,https://jeonju.museum.go.kr/upload/event/m_img2020011392435.jpg,국립전주박물관
45,[특별전연계]큐레이터와의 대화 및 전문가 특강,2020-05-13 ~ 2020-07-01,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050105&func_dvs_cd=edu&kind=19&GotoPage=1&mode=V&mng_no=232,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1591083694.jpg,국립제주박물관
46,[태풍고백]어쩌다 태풍 응모(가로세로 퀴즈),2020-05-26 ~ 2020-07-05,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050105&func_dvs_cd=edu&kind=19&GotoPage=1&mode=V&mng_no=231,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1589520064.jpg,국립제주박물관
